;4;5;6;7;8;9;Total
Testcases total;27;10;7;13;9;27;93
# Activities;195;92;84;165;126;278;940
# Activities (critical);148;39;49;25;68;225;554
Ø Activities ± SD;7.22 ± 4.54;9.20 ± 5.59;12.00 ± 4.24;12.69 ± 10.99;14.00 ± 7.05;10.30 ± 5.28;10.11 ± 6.58
Ø Activities (critical) ± SD;5.48 ± 4.63;3.90 ± 3.57;7.00 ± 6.90;1.92 ± 2.93;7.56 ± 5.75;8.33 ± 5.46;5.96 ± 5.26
Ø Data objects ± SD;2.70 ± 3.09;1.20 ± 2.15;0.86 ± 2.27;0.69 ± 1.70;3.11 ± 3.33;0.33 ± 1.00;1.47 ± 2.51
Ø Data association ± SD;3.56 ± 3.91;1.60 ± 2.63;1.29 ± 3.40;1.23 ± 2.49;3.44 ± 4.33;0.41 ± 1.58;1.92 ± 3.27
Ø Events ± SD;5.41 ± 5.66;5.40 ± 7.82;10.86 ± 12.75;4.92 ± 5.59;7.89 ± 5.33;6.44 ± 6.08;6.29 ± 6.71
Ø Gateways ± SD;4.67 ± 5.41;7.80 ± 7.41;4.43 ± 4.50;5.31 ± 6.56;8.00 ± 7.09;7.48 ± 5.58;6.22 ± 5.99
Ø Pools ± SD;1.52 ± 1.12;1.00 ± 0.47;2.57 ± 1.13;1.54 ± 1.56;1.67 ± 1.32;1.52 ± 0.75;1.56 ± 1.10
Ø Lanes ± SD;2.04 ± 1.26;2.10 ± 0.88;2.57 ± 1.72;1.23 ± 1.54;2.67 ± 2.18;2.78 ± 1.19;2.25 ± 1.45
Ø Message flows ± SD;1.07 ± 2.18;1.00 ± 3.16;5.43 ± 6.05;2.46 ± 5.38;2.56 ± 2.55;1.85 ± 2.86;1.96 ± 3.56
Ø Annotations ± SD;0.04 ± 0.19;4.80 ± 4.18;0.43 ± 1.13;2.15 ± 2.88;0.00 ± 0.00;6.74 ± 4.78;2.82 ± 4.22
