Test Case,Metric,Mean,Std Dev
7,precision,1.0000,0.0000
7,recall,0.4564,0.0192
7,f1,0.6265,0.0190
7,accuracy,0.4564,0.0192
4,precision,0.9667,0.1247
4,recall,1.0000,0.0000
4,f1,0.9778,0.0831
4,accuracy,0.9667,0.1247
6,precision,1.0000,0.0000
6,recall,0.7500,0.0000
6,f1,0.8571,0.0000
6,accuracy,0.7500,0.0000
10,precision,0.6970,0.1106
10,recall,0.9222,0.1734
10,f1,0.7726,0.0634
10,accuracy,0.6333,0.0754
19,precision,1.0000,0.0000
19,recall,0.9852,0.0687
19,f1,0.9911,0.0412
19,accuracy,0.9852,0.0687
3,precision,0.8541,0.0630
3,recall,0.6444,0.1464
3,f1,0.7207,0.1033
3,accuracy,0.5729,0.1178
17,precision,1.0000,0.0000
17,recall,1.0000,0.0000
17,f1,1.0000,0.0000
17,accuracy,1.0000,0.0000
18,precision,1.0000,0.0000
18,recall,1.0000,0.0000
18,f1,1.0000,0.0000
18,accuracy,1.0000,0.0000
9,precision,0.0000,0.0000
9,recall,0.0000,0.0000
9,f1,0.0000,0.0000
9,accuracy,0.0000,0.0000
5,precision,0.8833,0.1247
5,recall,1.0000,0.0000
5,f1,0.9333,0.0713
5,accuracy,0.8833,0.1247
21,precision,1.0000,0.0000
21,recall,0.5000,0.0000
21,f1,0.6667,0.0000
21,accuracy,0.5000,0.0000
29,precision,0.8344,0.1570
29,recall,1.0000,0.0000
29,f1,0.9016,0.0956
29,accuracy,0.8344,0.1570
8,precision,1.0000,0.0000
8,recall,0.9167,0.2357
8,f1,0.9333,0.1886
8,accuracy,0.9167,0.2357
20,precision,1.0000,0.0000
20,recall,0.9351,0.0711
20,f1,0.9650,0.0383
20,accuracy,0.9351,0.0711
26,precision,0.8526,0.0586
26,recall,0.8844,0.2512
26,f1,0.8332,0.1727
26,accuracy,0.7430,0.1957
12,precision,0.8199,0.1289
12,recall,0.9000,0.1740
12,f1,0.8535,0.1379
12,accuracy,0.7605,0.1373
16,precision,1.0000,0.0000
16,recall,0.9481,0.1208
16,f1,0.9689,0.0725
16,accuracy,0.9481,0.1208
38,precision,1.0000,0.0000
38,recall,0.7587,0.1358
38,f1,0.8551,0.1004
38,accuracy,0.7587,0.1358
40,precision,0.2595,0.0264
40,recall,1.0000,0.0000
40,f1,0.4114,0.0317
40,accuracy,0.2595,0.0264
34,precision,0.8583,0.1082
34,recall,0.9182,0.0983
34,f1,0.8781,0.0565
34,accuracy,0.7871,0.0881
43,precision,0.0000,0.0000
43,recall,0.0000,0.0000
43,f1,0.0000,0.0000
43,accuracy,0.0000,0.0000
42,precision,0.0000,0.0000
42,recall,0.0000,0.0000
42,f1,0.0000,0.0000
42,accuracy,0.0000,0.0000
32,precision,0.6196,0.1294
32,recall,0.8815,0.1596
32,f1,0.7134,0.0808
32,accuracy,0.5604,0.0930
